,parent,left_child,right_child,distance,size
0,5798,5090.0,5513.0,4.151532208316802,2.0
1,5799,4721.0,4375.0,4.2680507315626475,2.0
2,5800,3297.0,2804.0,4.294698186815601,2.0
3,5801,244.0,424.0,4.411105349503999,2.0
4,5802,5249.0,4940.0,4.442456112086386,2.0
5,5803,857.0,438.0,4.560645762916922,2.0
6,5804,3105.0,1998.0,4.5766830282576,2.0
7,5805,2741.0,2468.0,4.581577864757197,2.0
8,5806,4624.0,3924.0,4.627689604558631,2.0
9,5807,640.0,74.0,4.717935822859309,2.0
10,5808,552.0,192.0,4.739932646914248,2.0
11,5809,4309.0,4626.0,4.866182482554243,2.0
12,5810,5233.0,5649.0,4.881941177939143,2.0
13,5811,4764.0,5024.0,4.892742802149925,2.0
14,5812,5319.0,5696.0,4.894237659614193,2.0
15,5813,571.0,8.0,4.907921490453793,2.0
16,5814,676.0,25.0,4.9284805729148164,2.0
17,5815,4760.0,5151.0,4.939535104405394,2.0
18,5816,3127.0,2482.0,5.006236535307117,2.0
19,5817,4793.0,5350.0,5.011949817393017,2.0
20,5818,406.0,572.0,5.025258174000445,2.0
21,5819,5039.0,4969.0,5.0810406543837825,2.0
22,5820,605.0,1.0,5.08870664985581,2.0
23,5821,4685.0,4367.0,5.119560030371428,2.0
24,5822,4103.0,3907.0,5.139125406231479,2.0
25,5823,2779.0,2694.0,5.1655025031132595,2.0
26,5824,4258.0,4097.0,5.2096285873946835,2.0
27,5825,1581.0,1618.0,5.2198896657297364,2.0
28,5826,4916.0,5119.0,5.230253390820905,2.0
29,5827,5715.0,5453.0,5.248818937253553,2.0
30,5828,3136.0,2929.0,5.329630952792903,2.0
31,5829,675.0,269.0,5.330452258177593,2.0
32,5830,793.0,56.0,5.356169753904703,2.0
33,5831,195.0,492.0,5.396256763766004,2.0
34,5832,4606.0,4238.0,5.410068841245087,2.0
35,5833,296.0,647.0,5.42052353055738,2.0
36,5834,3937.0,4507.0,5.423456014643067,2.0
37,5835,185.0,499.0,5.46720886291371,2.0
38,5836,887.0,547.0,5.485370957891319,2.0
39,5837,3943.0,4484.0,5.5007746214969,2.0
40,5838,5343.0,5227.0,5.5195836743037505,2.0
41,5839,5808.0,5831.0,5.529080036167726,4.0
42,5840,5828.0,5823.0,5.531936005530668,4.0
43,5841,1543.0,1640.0,5.56680071006753,2.0
44,5842,677.0,378.0,5.570615307147238,2.0
45,5843,5568.0,5025.0,5.593808022147511,2.0
46,5844,5826.0,5395.0,5.6087121368695545,3.0
47,5845,2190.0,2826.0,5.616624067723498,2.0
48,5846,5576.0,4905.0,5.627077147678117,2.0
49,5847,4284.0,5809.0,5.630923011494787,3.0
50,5848,533.0,894.0,5.6766245614690805,2.0
51,5849,2349.0,2988.0,5.6873608414051935,2.0
52,5850,1598.0,2656.0,5.690071413672847,2.0
53,5851,4079.0,4033.0,5.699685444963987,2.0
54,5852,5847.0,4393.0,5.701281412097338,4.0
55,5853,3810.0,1089.0,5.702443677464266,2.0
56,5854,523.0,810.0,5.71386944811267,2.0
57,5855,5829.0,5813.0,5.716090967141017,4.0
58,5856,3746.0,3409.0,5.731641171542692,2.0
59,5857,256.0,550.0,5.761256851541866,2.0
60,5858,148.0,5855.0,5.7678495271739285,5.0
61,5859,147.0,539.0,5.768187484691357,2.0
62,5860,5835.0,338.0,5.769716942405929,3.0
63,5861,5774.0,4741.0,5.78830446816574,2.0
64,5862,4409.0,4066.0,5.791131030079337,2.0
65,5863,2396.0,3248.0,5.791666825513278,2.0
66,5864,5570.0,5452.0,5.824539223815847,2.0
67,5865,3085.0,2055.0,5.83326580979751,2.0
68,5866,161.0,871.0,5.864317772287132,2.0
69,5867,1707.0,2665.0,5.8750673275752,2.0
70,5868,4220.0,4441.0,5.88013082487747,2.0
71,5869,5846.0,5779.0,5.888205558676275,3.0
72,5870,5629.0,5724.0,5.890454175662074,2.0
73,5871,5673.0,4746.0,5.930481015490238,2.0
74,5872,4621.0,4400.0,5.936676735794712,2.0
75,5873,813.0,740.0,5.946707956881775,2.0
76,5874,3902.0,3877.0,5.954447811649321,2.0
77,5875,4121.0,5852.0,5.969097317563987,5.0
78,5876,5875.0,4514.0,5.974078462899997,6.0
79,5877,692.0,382.0,5.9807515657332395,2.0
80,5878,4100.0,4674.0,5.982732916699612,2.0
81,5879,176.0,224.0,5.989035359743568,2.0
82,5880,4801.0,5819.0,5.992158877086535,3.0
83,5881,5812.0,5802.0,5.993877512081944,4.0
84,5882,4123.0,4628.0,6.000415867387335,2.0
85,5883,856.0,113.0,6.003536141510497,2.0
86,5884,5881.0,5650.0,6.003562803401485,5.0
87,5885,5883.0,5860.0,6.032627503737277,5.0
88,5886,5525.0,5087.0,6.034969907590644,2.0
89,5887,5071.0,5143.0,6.04661647168007,2.0
90,5888,5818.0,412.0,6.047951923185329,3.0
91,5889,2659.0,5805.0,6.0621156318240965,3.0
92,5890,5839.0,97.0,6.069293505468659,5.0
93,5891,4863.0,5530.0,6.08837954789507,2.0
94,5892,91.0,100.0,6.108618856848523,2.0
95,5893,4390.0,4714.0,6.11260650979398,2.0
96,5894,5874.0,4411.0,6.12800177099147,3.0
97,5895,2939.0,2761.0,6.128842864187612,2.0
98,5896,5876.0,4021.0,6.133283889873066,7.0
99,5897,5003.0,4813.0,6.133600402681859,2.0
100,5898,5005.0,4787.0,6.133879576447732,2.0
101,5899,4630.0,5542.0,6.139409943245106,2.0
102,5900,4259.0,4602.0,6.152115767195535,2.0
103,5901,4043.0,4383.0,6.163176007576483,2.0
104,5902,194.0,24.0,6.173909925711399,2.0
105,5903,5878.0,3938.0,6.174337945845477,3.0
106,5904,488.0,33.0,6.205500749480022,2.0
107,5905,5424.0,5102.0,6.216800259615367,2.0
108,5906,5890.0,5858.0,6.217772113945457,10.0
109,5907,4598.0,4144.0,6.22988542213625,2.0
110,5908,237.0,261.0,6.242841611857688,2.0
111,5909,5906.0,34.0,6.247230161622942,11.0
112,5910,4675.0,4449.0,6.250743097776237,2.0
113,5911,5851.0,4193.0,6.253790513002829,3.0
114,5912,167.0,732.0,6.270105746675305,2.0
115,5913,4379.0,4252.0,6.277155063150902,2.0
116,5914,4405.0,4659.0,6.311047919632431,2.0
117,5915,1836.0,1631.0,6.321185247272626,2.0
118,5916,416.0,535.0,6.336285719110128,2.0
119,5917,564.0,822.0,6.3473400786737715,2.0
120,5918,790.0,558.0,6.3489174323462265,2.0
121,5919,4216.0,4515.0,6.351198692176741,2.0
122,5920,216.0,507.0,6.390223340350897,2.0
123,5921,3280.0,2508.0,6.414132567006749,2.0
124,5922,4975.0,4255.0,6.422041025310894,2.0
125,5923,1348.0,3775.0,6.422053761661633,2.0
126,5924,1755.0,2487.0,6.424637309538765,2.0
127,5925,5894.0,5896.0,6.429131599435697,10.0
128,5926,5346.0,5010.0,6.443826557426832,2.0
129,5927,5704.0,5072.0,6.444779945894855,2.0
130,5928,5866.0,5885.0,6.44695887652722,7.0
131,5929,5674.0,5230.0,6.452219062266862,2.0
132,5930,4645.0,4366.0,6.456525415875957,2.0
133,5931,5884.0,4822.0,6.469608403196127,6.0
134,5932,4967.0,5100.0,6.474878301268369,2.0
135,5933,568.0,210.0,6.480122974065308,2.0
136,5934,5621.0,5827.0,6.48025726657466,3.0
137,5935,5903.0,3991.0,6.482913724372758,4.0
138,5936,3979.0,4876.0,6.492238484776741,2.0
139,5937,5931.0,5925.0,6.501364285055065,16.0
140,5938,4127.0,4077.0,6.522528870207877,2.0
141,5939,4412.0,4243.0,6.527848780031146,2.0
142,5940,5663.0,5344.0,6.5287673430562725,2.0
143,5941,2773.0,5850.0,6.533020994872462,3.0
144,5942,4838.0,4071.0,6.541539896571297,2.0
145,5943,4934.0,5780.0,6.544011817567061,2.0
146,5944,5867.0,5941.0,6.559633131794582,5.0
147,5945,4689.0,4278.0,6.564302139421808,2.0
148,5946,5923.0,1044.0,6.574397306860294,3.0
149,5947,5314.0,3889.0,6.584360280692736,2.0
150,5948,5838.0,5755.0,6.597582903592312,3.0
151,5949,5287.0,5117.0,6.600209312901787,2.0
152,5950,1049.0,3357.0,6.600412567552661,2.0
153,5951,5948.0,4846.0,6.609067514948223,4.0
154,5952,618.0,247.0,6.624543216202588,2.0
155,5953,5869.0,4226.0,6.625395658970523,4.0
156,5954,4055.0,5059.0,6.635630199422622,2.0
157,5955,2642.0,1961.0,6.6383775691709195,2.0
158,5956,5327.0,4352.0,6.639567835981878,2.0
159,5957,2412.0,2652.0,6.641878443119607,2.0
160,5958,3785.0,1408.0,6.655433718156748,2.0
161,5959,5583.0,5493.0,6.66511213027188,2.0
162,5960,3074.0,5816.0,6.683495194310304,3.0
163,5961,5706.0,5442.0,6.683932671486869,2.0
164,5962,3418.0,1391.0,6.691783131849716,2.0
165,5963,4221.0,4526.0,6.6973076939876,2.0
166,5964,844.0,508.0,6.699123584045776,2.0
167,5965,3898.0,4437.0,6.703155941983281,2.0
168,5966,5385.0,3918.0,6.709693778752229,2.0
169,5967,2739.0,2660.0,6.71165299034316,2.0
170,5968,3066.0,2896.0,6.711677142265044,2.0
171,5969,4344.0,4342.0,6.721821932955354,2.0
172,5970,371.0,715.0,6.734791349699853,2.0
173,5971,5457.0,5577.0,6.739651377202742,2.0
174,5972,5468.0,4099.0,6.746024849990755,2.0
175,5973,4306.0,4219.0,6.747392603196215,2.0
176,5974,4101.0,4458.0,6.759541636686605,2.0
177,5975,5897.0,5336.0,6.762358498383662,3.0
178,5976,4995.0,5943.0,6.762839624826626,3.0
179,5977,5375.0,5410.0,6.770350244359222,2.0
180,5978,2388.0,2684.0,6.772143871761759,2.0
181,5979,5216.0,4475.0,6.774842912572984,2.0
182,5980,5817.0,4138.0,6.783591458774603,3.0
183,5981,5844.0,5937.0,6.787801053353086,19.0
184,5982,5928.0,684.0,6.7943161884881915,8.0
185,5983,4911.0,5712.0,6.797657091211079,2.0
186,5984,2802.0,5845.0,6.798464665212574,3.0
187,5985,842.0,610.0,6.809279008878397,2.0
188,5986,2316.0,5960.0,6.810338371066985,4.0
189,5987,179.0,5918.0,6.8283675774672705,3.0
190,5988,22.0,815.0,6.834253456653713,2.0
191,5989,4643.0,3956.0,6.839608719258748,2.0
192,5990,5909.0,511.0,6.842850331068353,12.0
193,5991,2767.0,5889.0,6.843524468706295,4.0
194,5992,708.0,600.0,6.843991262101344,2.0
195,5993,5351.0,5947.0,6.845374456963355,3.0
196,5994,5565.0,4757.0,6.854011004277447,2.0
197,5995,4906.0,4959.0,6.85810499819765,2.0
198,5996,5976.0,4520.0,6.865558866791558,4.0
199,5997,5973.0,4658.0,6.865668334953188,3.0
200,5998,3930.0,4231.0,6.865773402321518,2.0
201,5999,5987.0,5879.0,6.867979958473776,5.0
202,6000,5956.0,4867.0,6.871863609699303,3.0
203,6001,2676.0,2763.0,6.880140231387726,2.0
204,6002,4688.0,5998.0,6.887233119562108,3.0
205,6003,4886.0,5610.0,6.887245166294259,2.0
206,6004,4998.0,5534.0,6.899687813829574,2.0
207,6005,4250.0,5939.0,6.905518655259366,3.0
208,6006,5076.0,5773.0,6.905736418133502,2.0
209,6007,5505.0,5028.0,6.9062806850049,2.0
210,6008,5484.0,5511.0,6.9107904661253805,2.0
211,6009,1948.0,5841.0,6.922605904112764,3.0
212,6010,1679.0,2147.0,6.9248895157640025,2.0
213,6011,774.0,599.0,6.926109334879194,2.0
214,6012,3893.0,4049.0,6.926867686329219,2.0
215,6013,490.0,214.0,6.954040898580469,2.0
216,6014,4600.0,5767.0,6.974313003759343,2.0
217,6015,5873.0,353.0,6.9899606026831895,3.0
218,6016,5781.0,5083.0,6.990298882132546,2.0
219,6017,5929.0,5516.0,7.0022062412800725,3.0
220,6018,4671.0,3875.0,7.003129363825923,2.0
221,6019,5958.0,1358.0,7.006037916239059,3.0
222,6020,3901.0,4331.0,7.008904412377774,2.0
223,6021,5433.0,4474.0,7.009709590969088,2.0
224,6022,5678.0,4690.0,7.015675852288161,2.0
225,6023,5550.0,5949.0,7.0213285313606955,3.0
226,6024,5911.0,4570.0,7.027894879144872,4.0
227,6025,5843.0,5934.0,7.028360193230626,5.0
228,6026,4747.0,5995.0,7.028981152173751,3.0
229,6027,235.0,138.0,7.035956021977567,2.0
230,6028,1069.0,3680.0,7.045388197615555,2.0
231,6029,4428.0,5770.0,7.048101376823012,2.0
232,6030,6.0,839.0,7.052605639584057,2.0
233,6031,5756.0,4156.0,7.060657767644712,2.0
234,6032,6000.0,5184.0,7.062690234845084,4.0
235,6033,3906.0,5886.0,7.072118200661442,3.0
236,6034,4320.0,3984.0,7.0781806205796896,2.0
237,6035,5932.0,4074.0,7.084672297029764,3.0
238,6036,4398.0,4818.0,7.090325064099382,2.0
239,6037,4848.0,4880.0,7.093012276918197,2.0
240,6038,139.0,574.0,7.097960302739809,2.0
241,6039,3183.0,2085.0,7.100310569784665,2.0
242,6040,4578.0,4859.0,7.10446939449922,2.0
243,6041,3843.0,1319.0,7.106832780156596,2.0
244,6042,350.0,27.0,7.1104133061774215,2.0
245,6043,4274.0,4797.0,7.112503701218993,2.0
246,6044,4492.0,4619.0,7.114565990826372,2.0
247,6045,5975.0,5242.0,7.119380344328865,4.0
248,6046,1286.0,1376.0,7.120270665955011,2.0
249,6047,3497.0,3722.0,7.12746709588121,2.0
250,6048,4938.0,5553.0,7.131647929973995,2.0
251,6049,4881.0,3929.0,7.132186305126344,2.0
252,6050,5901.0,4083.0,7.135421238718937,3.0
253,6051,5912.0,5857.0,7.144112716820907,4.0
254,6052,5986.0,3182.0,7.144701476955125,5.0
